pas accuracy,shooting,age,free_kick_accuracy,ball_control,balance,vision,jumping,strength,positioning,crossing,heading_accuracy,finishing
74,56,31,59,74,76,55,81,76,60,72,65,48
75,68,27,77,75,79,70,65,72,75,72,56,67
71,67,23,59,75,80,71,73,56,69,75,54,68
30,48,33,21,54,29,47,31,96,51,32,81,48
78,69,22,68,75,71,68,71,58,70,68,32,67
59,59,27,75,73,66,72,75,73,58,68,74,47
89,54,23,50,72,74,65,53,67,60,72,55,48
72,46,32,39,71,87,56,69,56,44,71,55,44
70,73,32,13,20,44,50,60,64,12,12,14,14
72,73,29,60,68,65,65,65,75,78,39,73,75
81,69,23,55,72,60,73,55,69,71,72,59,67
59,22,20,22,65,53,30,72,69,23,29,76,16
62,69,26,70,73,65,73,62,75,70,66,47,68
66,71,31,13,22,42,38,66,73,12,18,12,14
84,73,25,44,70,83,70,67,44,77,64,68,76
74,65,21,77,77,81,73,59,43,63,58,46,67
69,65,20,58,74,69,72,51,66,72,66,60,68
80,68,27,75,74,62,73,48,57,66,71,43,70
60,57,29,67,67,61,68,66,70,56,66,69,48
65,34,27,68,58,58,37,72,78,30,36,76,24
82,69,28,62,77,74,68,46,47,64,65,33,66
86,69,23,59,67,84,63,84,72,77,57,62,74
88,41,27,37,65,87,49,75,70,55,69,55,36
72,56,29,57,69,53,53,73,81,66,66,68,52
81,57,28,47,68,86,42,93,41,69,59,60,45
68,56,35,76,75,72,70,74,66,64,85,58,46
61,58,30,65,62,54,51,71,80,56,51,73,54
72,70,30,66,74,59,70,81,81,75,66,72,70
77,66,33,65,72,74,70,76,68,70,67,64,61
74,43,33,50,71,62,45,80,81,30,53,72,33
67,42,22,45,61,55,45,88,80,45,44,68,35
75,70,30,15,29,64,59,79,80,15,15,14,14
66,68,25,62,75,53,74,59,78,67,66,62,60
87,52,27,53,75,85,55,61,65,69,72,48,50
82,72,22,48,74,77,61,74,67,79,62,60,75
62,74,34,61,76,62,73,52,74,72,73,54,68
65,25,21,21,63,42,32,79,82,27,25,69,16
74,66,31,78,76,74,78,70,72,71,74,35,61
72,59,18,45,74,71,76,69,60,69,67,61,63
59,62,27,80,72,72,78,57,59,35,62,42,56
78,69,27,17,28,58,25,55,69,15,9,16,17
76,72,27,57,74,63,62,69,68,70,63,69,74
71,61,29,57,71,74,71,90,74,63,65,66,54
74,71,25,12,14,60,20,64,64,17,15,19,12
93,63,27,34,74,93,65,56,33,60,71,40,63
39,52,35,56,65,60,67,75,76,45,36,62,44
70,53,28,53,71,64,62,80,76,60,49,70,45
79,72,27,53,75,69,52,73,55,68,59,72,74
71,70,24,69,77,83,77,52,49,74,69,50,64
76,70,26,62,79,79,76,42,70,71,69,48,65
81,72,22,64,75,59,66,67,71,72,67,63,76
81,69,25,41,71,70,52,71,68,72,58,73,71
78,41,20,48,71,79,40,69,64,42,76,60,30
54,48,29,22,56,45,48,71,89,43,39,78,38
42,38,28,50,70,49,59,45,89,51,63,67,33
86,51,26,48,69,77,46,82,68,69,73,55,42
54,73,36,83,74,77,76,71,57,64,76,74,70
77,65,29,14,22,38,42,38,52,12,20,18,11
73,74,30,21,31,37,69,69,75,13,20,20,12
54,66,27,81,73,63,74,75,66,68,81,70,52
70,74,30,53,69,68,63,75,75,69,58,69,79
65,15,25,19,56,59,13,81,88,13,15,58,17
82,69,33,76,75,79,68,52,50,68,76,56,66
72,75,33,10,23,64,70,52,60,6,8,13,6
73,64,29,72,72,85,68,71,52,68,63,44,64
81,68,29,68,78,83,63,34,67,70,71,46,63
67,63,24,59,68,57,67,67,72,65,61,75,56
78,37,25,44,61,72,52,88,70,49,58,66,33
84,62,21,67,74,90,72,65,33,65,67,46,63
70,75,28,65,71,74,58,75,71,74,59,67,73
79,60,28,65,70,80,65,79,61,62,70,56,53
57,74,27,48,70,48,62,67,85,78,51,78,77
72,75,33,13,30,36,49,65,71,15,11,13,12
67,67,30,71,72,77,69,79,73,69,66,67,61
73,68,28,75,72,73,66,76,72,67,77,68,59
49,61,31,60,72,68,71,68,76,72,61,37,51
86,74,23,59,77,76,67,68,67,72,59,62,75
90,69,28,66,73,88,64,74,66,70,72,39,66
77,71,25,14,21,49,52,41,61,10,22,14,13
67,55,31,66,72,84,71,78,62,66,61,39,49
73,65,31,76,73,62,75,68,78,69,77,64,55
71,72,23,76,77,64,73,44,56,70,71,53,72
65,66,26,74,75,65,72,65,75,71,66,55,61
62,46,32,49,60,67,47,89,77,36,40,76,45
68,55,29,58,65,71,57,78,67,53,51,59,45
50,37,31,36,67,57,48,82,79,36,64,69,33
72,71,24,49,69,66,68,76,77,73,52,68,71
75,67,26,66,71,73,66,75,74,66,70,67,70
73,77,25,12,21,39,67,41,56,12,19,17,11
82,70,33,74,68,72,68,74,65,73,67,56,71
57,51,32,40,66,49,57,65,85,54,48,75,38
76,73,35,23,14,34,61,43,33,5,16,11,9
72,51,21,35,71,64,56,74,74,60,71,67,60
58,66,29,72,74,69,73,73,73,73,70,70,63
62,36,26,20,63,68,56,81,80,38,63,73,36
79,52,30,64,73,74,60,68,65,68,74,58,36
76,52,22,54,68,72,60,68,68,52,68,64,41
68,28,22,34,57,44,39,72,76,41,66,71,25
69,54,25,53,72,66,62,69,74,45,64,59,51
76,54,26,40,73,63,68,70,79,68,76,60,41
73,71,33,75,73,74,75,74,51,70,57,68,68
71,43,21,45,71,66,62,85,63,54,67,67,37
89,64,29,62,71,93,72,84,63,57,76,30,63
72,45,30,41,69,64,58,70,73,45,71,63,41
77,56,25,63,76,79,65,73,62,70,76,57,46
78,73,26,55,73,73,64,62,62,75,68,63,78
33,47,23,55,54,55,46,34,82,30,34,80,35
85,39,22,55,72,71,52,85,74,64,71,61,29
89,70,30,47,71,78,68,68,68,69,69,62,71
82,71,27,56,73,83,73,57,56,73,58,43,72
67,42,24,47,72,83,65,70,74,56,53,61,37
88,68,33,46,73,87,66,70,44,67,75,52,68
83,52,20,28,66,64,56,86,72,57,32,66,48
70,69,33,75,75,69,77,70,71,66,70,66,69
55,51,24,59,76,68,74,72,78,60,62,68,33
43,37,32,55,67,66,35,77,72,33,53,68,25
64,56,25,37,74,67,69,64,64,67,62,48,48
76,52,25,58,64,62,66,56,70,61,72,61,47
67,71,28,60,71,52,42,81,90,74,37,82,71
73,69,24,78,75,85,76,59,39,70,63,42,67
81,68,29,49,73,88,69,49,55,76,64,43,71
82,71,24,46,69,75,59,75,80,74,59,66,74
76,59,29,69,68,69,58,81,71,67,76,63,50
60,57,27,49,75,66,72,68,69,65,73,63,53
86,68,23,31,76,74,68,51,72,71,72,61,67
78,75,26,52,72,78,61,68,63,73,36,63,75
65,73,31,48,68,39,38,86,80,79,26,78,75
69,62,31,42,69,74,63,62,70,59,55,65,59
75,48,25,36,68,71,59,76,73,58,67,66,39
83,38,28,41,63,77,51,86,67,58,67,77,28
77,70,23,67,71,74,71,70,66,68,70,40,69
82,65,28,75,72,84,67,75,66,70,72,52,63
78,52,26,52,69,69,55,75,72,60,73,69,50
57,57,29,43,66,61,71,71,73,41,61,72,59
58,53,30,40,69,54,60,81,76,44,69,75,48
55,27,26,34,64,32,38,33,87,25,39,78,24
68,38,32,47,58,65,35,65,78,23,48,75,33
83,69,28,58,71,70,70,66,73,70,73,63,70
78,58,25,53,75,81,73,71,74,67,58,55,55
69,51,30,58,76,66,72,88,80,69,59,71,45
72,29,25,30,55,64,49,82,84,22,25,69,24
51,31,31,46,56,49,45,88,81,28,57,74,40
59,35,24,36,52,48,25,70,79,21,32,69,21
59,72,24,33,68,58,48,64,88,80,33,81,77
79,62,27,62,70,67,64,70,71,69,73,67,63
72,57,25,64,73,69,66,77,60,71,72,41,43
80,69,28,49,68,67,67,54,73,69,70,45,68
70,72,24,60,71,77,68,74,68,73,66,70,74
73,47,20,41,59,87,62,92,61,31,51,59,39
78,60,23,57,76,67,73,68,59,63,54,60,55
73,70,30,20,17,34,51,73,65,14,13,13,12
69,47,29,36,76,75,65,72,46,71,75,61,36
78,65,23,66,78,77,68,44,54,70,75,36,60
70,48,29,70,68,61,42,70,80,36,75,71,20
66,72,32,81,76,62,72,39,61,65,82,42,66
70,57,27,47,74,61,72,72,74,69,49,55,55
75,49,25,46,62,55,45,67,66,42,74,67,52
53,73,30,76,73,71,71,69,74,70,70,68,63
53,57,29,55,59,52,70,70,81,57,54,71,45
83,49,30,36,66,91,53,81,57,60,68,55,46
74,55,27,50,72,82,60,63,64,49,68,58,40
76,62,28,55,76,80,62,78,73,59,63,73,59
73,74,27,13,21,31,23,75,59,11,11,13,10
61,34,33,49,48,50,44,79,74,22,51,63,29
66,69,30,76,72,75,79,69,65,66,75,69,62
77,70,32,20,30,50,31,75,60,13,25,14,15
80,63,26,56,75,87,72,78,67,67,68,50,55
69,67,26,74,69,76,77,76,69,65,75,57,63
79,71,24,75,75,78,69,65,68,68,64,39,67
74,72,36,11,25,43,45,57,78,11,10,14,11
75,39,25,46,75,73,64,72,62,65,76,55,23
74,71,25,39,66,36,61,74,83,69,63,81,74
80,72,22,67,73,86,71,61,60,66,70,52,71
75,34,19,37,63,64,52,73,74,41,42,71,26
74,71,34,12,35,48,40,72,63,13,11,13,11
38,47,25,31,72,41,24,43,87,32,39,74,36
65,46,33,42,50,55,42,72,81,40,51,74,33
80,72,22,64,76,78,63,67,66,73,65,56,71
69,50,25,34,64,67,63,84,82,62,42,72,39
67,70,31,65,76,71,69,70,70,72,74,67,68
72,67,27,55,74,69,71,59,74,65,57,45,60
70,63,25,68,74,84,71,74,58,61,74,49,53
76,78,26,54,68,64,48,69,75,70,44,65,80
53,77,32,36,65,56,54,68,72,86,39,76,82
43,79,38,60,79,78,69,66,53,83,64,60,78
73,39,33,31,57,61,47,88,77,58,69,76,32
73,41,19,39,68,74,55,74,73,62,67,62,35
76,67,25,75,76,67,75,63,69,65,68,44,62
77,70,28,50,73,68,69,71,83,73,67,68,71
67,71,29,55,75,72,72,67,76,70,66,55,66
72,59,30,55,70,77,64,81,71,64,73,72,50
55,44,28,38,55,60,50,77,88,43,32,72,36
78,60,26,63,71,76,63,78,65,63,63,51,52
74,68,35,20,15,21,22,62,70,13,11,12,19
73,49,29,45,63,43,47,52,84,37,49,73,43
72,71,37,12,24,41,38,68,61,15,18,13,10
53,29,26,30,53,44,29,82,79,21,30,73,19
71,49,33,44,66,68,57,74,74,64,76,63,33
62,71,29,41,71,56,67,71,80,74,49,75,75
65,70,31,66,75,83,70,70,65,74,65,58,65
65,41,26,34,64,63,58,84,78,52,35,74,36
69,73,32,59,66,68,72,75,72,62,61,53,65
74,43,33,50,71,62,45,80,81,30,53,72,33
51,41,25,49,50,71,51,62,85,37,39,72,33
62,66,31,68,77,83,76,67,69,71,51,72,63
75,40,24,42,65,39,52,40,88,61,67,54,30
76,50,33,57,72,79,62,90,59,62,69,65,37
69,75,30,78,77,84,75,59,69,77,73,61,75
66,59,30,55,70,69,66,63,72,59,72,66,52
78,52,25,46,70,69,63,73,71,61,72,54,54
80,74,30,51,69,64,53,73,63,76,30,67,75
69,71,21,44,68,44,50,72,71,79,44,77,74
69,36,30,39,43,37,46,66,87,44,44,77,35
81,65,23,70,76,84,70,65,59,65,67,59,63
66,58,25,48,66,62,50,76,79,55,47,72,42
70,46,30,59,73,77,67,73,65,53,71,51,31
76,64,26,51,72,75,47,64,60,66,46,63,60
58,64,31,39,74,39,74,78,81,64,61,74,60
77,69,28,65,71,71,74,49,67,71,70,58,69
48,66,30,44,72,64,69,82,73,66,69,75,60
82,69,33,76,75,79,68,52,50,68,76,56,66
78,57,25,40,76,69,59,70,65,63,73,57,43
49,49,30,44,66,61,66,84,62,59,39,65,39
45,72,38,76,84,71,78,63,57,77,73,55,68
82,59,24,50,70,72,66,70,67,65,66,59,57
74,68,26,14,23,53,28,71,71,13,12,13,11
68,40,24,34,66,64,47,79,77,41,53,76,34
64,31,30,30,59,59,58,72,79,52,52,73,28
75,64,31,72,74,92,76,32,50,73,62,39,65
63,53,28,46,67,53,55,72,78,62,71,80,49
58,74,34,58,66,61,61,81,79,79,52,77,77
65,73,35,80,77,50,72,51,82,71,74,63,70
55,38,30,33,53,57,50,69,82,35,50,79,31
82,65,25,36,75,87,70,83,60,74,70,53,69
64,62,23,73,73,67,72,54,71,60,71,46,61
55,59,25,61,68,66,66,85,76,59,46,75,51
69,73,30,46,71,66,56,80,78,78,46,68,70
60,54,33,54,65,38,48,62,84,44,54,68,53
78,45,23,60,64,64,33,91,73,35,68,66,32
86,41,27,32,76,75,51,64,48,62,78,65,26
89,72,27,54,72,64,59,80,77,70,70,67,68
56,51,24,29,68,52,58,77,76,52,54,74,42
31,41,35,49,55,38,45,58,84,33,51,77,32
93,68,19,48,74,74,62,45,65,67,65,44,69
74,56,31,46,70,66,60,70,76,71,78,73,41
68,39,29,42,72,54,47,65,82,48,72,70,33
72,59,23,57,77,81,75,38,54,64,72,47,56
72,72,28,48,69,39,56,59,79,80,62,65,74
54,46,32,34,63,64,60,70,82,62,67,62,42
65,63,26,70,73,68,68,71,71,62,50,63,59
70,69,33,75,75,69,77,70,71,66,70,66,69
61,48,28,53,54,61,52,80,80,62,59,75,43
62,52,23,36,66,52,59,74,83,46,53,74,44
66,72,30,57,68,68,65,70,68,75,45,77,74
64,59,25,76,66,64,77,66,75,71,65,53,54
58,43,36,64,56,56,62,82,82,26,44,71,34
53,72,32,65,70,29,73,34,93,75,53,81,72
55,57,22,68,75,54,75,75,68,62,45,59,46
68,73,34,71,71,63,76,86,81,72,69,67,76
77,60,29,72,73,76,64,79,67,66,75,54,50
88,66,23,65,76,89,75,33,52,68,68,47,66
89,70,30,73,77,76,69,77,61,71,73,58,70
57,57,29,43,66,61,71,71,73,41,61,72,59
68,70,31,20,12,31,21,35,65,16,12,15,14
65,53,27,75,77,79,76,63,65,54,76,44,47
80,69,27,74,77,73,66,55,62,66,72,58,70
80,68,28,61,75,69,72,70,61,67,63,45,62
88,69,24,57,73,90,71,77,38,71,65,65,63
75,64,35,13,22,48,47,64,60,11,16,16,15
78,67,25,65,73,69,73,81,61,72,63,62,66
79,67,22,38,72,67,66,65,59,77,67,67,72
74,75,30,10,28,32,27,58,68,14,10,10,9
68,33,22,30,67,37,42,60,79,30,61,70,24
56,43,20,39,62,57,56,71,77,50,41,67,41
78,70,30,78,78,72,77,73,59,72,72,68,68
78,72,26,76,75,77,70,79,72,69,74,56,68
62,61,29,71,76,72,71,70,74,60,65,65,53
78,64,22,67,77,87,73,71,52,67,68,40,62
70,35,25,35,69,71,50,75,71,52,74,73,30
53,66,33,73,71,75,80,44,45,71,76,35,64
76,76,29,71,76,66,56,73,69,67,53,64,75
75,44,22,32,69,64,49,74,71,55,60,59,28
67,70,32,69,76,73,76,64,61,74,72,60,68
80,69,29,65,75,90,70,76,43,72,68,62,68
76,73,30,68,73,59,70,65,70,77,70,56,72
27,41,33,32,44,32,16,65,83,26,30,74,43
81,66,24,53,70,78,64,67,67,72,69,45,65
92,70,24,48,72,82,53,73,47,77,52,67,75
32,76,35,59,72,34,69,47,88,82,49,82,77
88,68,22,66,75,72,69,90,43,66,69,60,66
73,71,29,10,11,56,69,74,80,10,13,15,11
68,66,31,76,73,82,78,64,56,75,80,35,65
57,53,35,56,60,62,46,78,73,37,53,78,44
67,68,23,68,71,70,72,55,65,69,82,54,56
75,67,30,67,71,73,73,70,69,72,65,39,68
75,71,30,60,75,70,59,84,74,72,60,65,75
70,70,28,35,74,54,59,51,83,80,45,68,74
72,46,24,46,68,81,67,62,68,62,55,55,42
75,66,29,15,16,33,37,72,70,13,11,12,13
72,58,31,33,70,74,65,57,65,71,71,59,45
71,68,28,73,75,77,67,70,70,67,75,71,61
75,47,24,70,70,73,62,77,76,62,77,65,36
38,45,24,31,54,37,37,83,85,40,36,80,42
79,41,25,59,68,82,65,78,66,54,66,54,24
91,62,26,67,68,78,61,70,69,67,68,60,58
83,52,23,47,72,70,66,36,48,68,76,44,55
74,73,26,13,19,41,60,59,73,11,11,22,11
71,64,29,55,66,66,65,82,84,64,61,66,61
69,70,23,52,72,64,63,80,75,76,62,72,75
60,50,24,38,63,41,37,78,83,48,39,78,52
69,68,28,65,73,78,72,72,69,71,74,63,70
79,67,22,74,76,76,70,75,68,70,71,65,65
70,44,31,43,69,79,64,72,64,47,70,61,25
74,72,33,60,74,83,73,67,64,68,62,67,74
74,58,24,65,72,75,63,69,76,57,59,61,52
80,65,28,66,69,90,79,48,35,66,79,37,72
72,61,30,53,69,74,64,76,71,60,62,64,51
74,71,20,73,74,78,73,72,53,69,71,54,71
40,60,35,74,78,69,76,61,54,66,70,65,60
77,69,27,11,23,44,43,82,66,17,14,17,11
52,30,22,26,59,44,33,53,75,27,33,82,27
73,61,19,55,77,75,73,57,69,66,66,52,64
73,69,28,18,23,62,69,53,64,10,19,16,14
52,66,29,71,74,61,74,72,75,57,77,65,56
69,73,29,50,73,73,60,72,73,74,59,72,75
72,72,26,55,72,63,68,82,80,73,56,73,73
68,69,24,69,70,52,60,69,83,73,63,77,73
75,76,29,74,75,83,57,75,54,65,61,65,76
67,70,36,70,72,72,76,62,77,66,64,55,68
54,41,26,39,48,37,38,67,88,37,36,75,33
93,67,29,29,72,75,65,69,59,67,70,65,66
79,72,26,35,75,77,73,65,51,76,67,71,71
86,63,18,58,78,83,72,66,60,57,70,52,64
54,57,30,74,62,40,35,79,77,36,38,79,48
91,66,26,43,70,94,74,63,34,68,66,49,65
86,41,21,22,68,62,49,83,67,61,62,67,41
60,49,22,42,70,55,62,47,78,50,59,65,41
78,73,27,67,75,84,63,79,44,71,65,64,75
83,73,24,70,77,69,66,72,67,73,74,54,75
70,55,28,64,72,60,69,90,80,72,47,60,48
79,69,25,75,75,71,71,62,65,60,73,66,68
69,63,29,71,73,81,75,72,47,71,72,46,64
58,62,29,73,75,59,73,76,75,68,75,70,53
68,71,27,75,72,62,76,69,76,67,77,60,64
70,60,27,47,73,71,63,61,60,74,75,33,57
80,57,22,57,72,73,68,76,65,68,73,56,50
67,54,23,29,76,68,72,80,78,58,52,69,45
63,36,30,40,52,72,39,64,83,27,36,78,28
80,60,24,59,75,74,72,75,57,65,76,57,63
73,51,29,34,68,62,42,72,76,53,70,72,48
66,71,29,63,73,69,69,58,66,71,63,45,66
56,34,28,33,33,30,30,69,92,23,35,77,24
80,73,26,79,70,67,73,53,71,75,75,41,74
73,70,19,18,24,65,66,72,51,15,18,17,20
74,76,32,56,75,72,67,54,76,73,72,64,72
68,42,31,32,55,54,42,90,80,45,55,71,31
60,61,37,66,71,64,74,81,78,65,62,59,54
75,38,24,33,67,53,43,70,77,32,35,72,39
79,45,33,47,71,67,51,64,71,53,74,52,34
74,58,30,81,72,72,65,74,69,51,79,59,48
73,66,28,11,24,46,30,83,74,15,11,13,13
75,41,24,29,59,57,40,90,86,43,33,73,34
64,66,29,59,77,69,75,66,58,63,67,57,61
72,70,32,12,25,64,65,70,68,12,18,13,13
87,72,27,60,74,68,48,78,76,74,61,72,73
68,38,26,21,59,63,43,76,70,50,50,75,38
62,38,33,25,51,67,54,85,76,42,40,75,43
69,69,33,72,75,62,76,55,77,70,73,61,62
80,65,29,44,68,71,69,54,63,77,67,60,67
76,71,23,13,24,34,48,55,49,8,12,20,13
70,50,25,52,68,67,62,65,74,67,73,62,41
67,39,22,35,62,64,45,72,80,41,43,74,33
73,56,29,57,72,63,66,73,78,62,66,59,46
57,68,22,30,74,61,63,71,90,75,49,77,74
49,73,33,33,70,73,68,83,77,80,48,81,77
61,67,34,74,76,56,76,54,67,67,78,58,68
45,34,27,33,58,46,43,68,85,31,38,75,22
71,42,27,36,59,58,53,70,76,37,55,74,36
57,75,33,72,74,53,54,54,84,75,57,64,75
76,67,31,35,72,66,66,44,71,71,78,62,65
89,67,27,65,72,78,66,59,77,76,70,62,62
73,70,30,29,80,69,64,73,79,68,63,74,64
73,73,27,14,15,44,31,75,52,14,11,17,16
80,54,25,34,69,82,63,86,62,69,76,69,48
77,57,32,70,74,73,44,56,64,69,75,69,40
67,39,30,27,68,62,59,71,74,57,72,60,32
63,53,31,32,56,70,54,87,76,42,59,73,45
79,66,28,54,74,71,73,67,51,71,73,52,66
66,61,27,61,63,68,65,78,75,47,61,71,51
60,64,25,71,71,46,56,52,78,56,69,65,53
63,60,29,53,73,75,59,81,70,53,57,70,53
56,40,29,40,67,53,65,54,73,39,49,66,34
69,71,31,17,25,44,55,68,75,11,26,34,22
87,67,29,56,72,81,75,65,69,78,64,55,68
76,76,29,71,76,66,56,73,69,67,53,64,75
84,62,21,56,75,78,70,56,43,66,64,54,62
76,63,25,69,73,73,71,69,73,71,74,64,51
81,49,26,46,66,71,62,70,65,55,64,53,50
66,74,30,55,69,59,44,77,86,72,49,72,76
62,75,29,71,72,59,65,76,67,78,68,70,77
69,68,27,36,68,59,63,75,79,67,51,71,65
73,70,21,16,24,55,42,70,76,14,18,17,13
74,68,23,54,75,77,76,70,61,68,64,59,67
65,56,21,45,77,68,75,61,64,65,68,60,40
71,49,32,47,72,60,42,65,69,61,75,59,40
75,65,24,45,74,74,72,42,56,69,63,42,67
89,62,27,66,75,78,64,80,61,75,70,71,52
53,43,23,24,63,51,26,78,85,25,23,77,52
69,46,22,42,68,73,56,73,74,59,72,72,40
77,67,29,63,72,72,71,76,67,73,73,74,68
63,59,27,59,73,73,61,79,59,53,61,56,54
62,45,36,51,74,66,68,59,68,59,71,63,33
58,44,21,46,69,59,43,64,80,36,43,70,40
72,72,30,13,20,48,47,64,64,13,18,12,11
75,69,28,67,71,86,73,87,61,66,69,40,70
74,72,33,60,74,83,73,67,64,68,62,67,74
73,65,24,69,77,79,72,63,49,68,70,38,59
81,64,25,60,78,85,67,58,55,63,59,49,60
73,45,20,35,73,63,53,71,72,51,72,56,40
73,72,20,60,72,70,43,87,76,72,40,78,72
71,59,26,30,74,68,62,79,76,42,68,76,55
89,36,23,31,66,69,53,59,65,56,69,66,36
33,33,36,35,63,54,55,61,78,32,53,77,29
75,76,29,74,75,83,57,75,54,65,61,65,76
59,57,36,45,69,65,52,67,69,60,79,68,44
71,30,25,27,41,31,51,70,83,24,36,73,23
70,68,26,34,73,51,55,52,90,79,22,70,77
65,32,27,33,65,58,51,63,76,27,49,70,25
68,60,32,58,71,76,65,80,64,54,57,59,53
83,57,29,75,75,88,72,46,34,64,76,49,64
89,69,24,72,75,89,65,71,56,68,67,54,65
75,73,31,72,73,71,78,77,73,74,63,71,75
38,32,37,40,59,54,58,81,86,31,60,71,24
65,60,27,63,73,72,74,53,46,70,63,23,65
53,68,37,66,75,68,82,58,42,67,77,44,68
74,72,27,59,66,77,62,74,71,80,69,71,71
74,70,22,48,77,82,74,80,43,79,57,58,77
86,65,31,59,78,86,64,67,68,70,76,54,56
79,67,27,76,72,70,69,74,72,67,75,57,62
79,69,23,68,73,73,74,70,67,73,69,67,67
77,71,25,14,25,49,52,41,61,10,22,14,13
79,45,33,47,71,67,51,64,71,53,74,52,34
71,56,21,42,68,70,68,66,91,63,64,73,46
85,55,23,32,69,81,64,91,60,68,72,63,55
81,33,24,34,58,69,31,76,76,29,35,72,29
88,65,21,31,78,89,61,69,45,69,69,43,60
89,70,24,63,75,91,69,86,31,69,62,63,68
76,55,26,66,72,69,69,53,68,63,72,56,43
74,70,24,53,71,57,60,58,82,76,55,73,74
84,71,26,39,78,87,64,72,58,78,62,54,72
67,68,23,52,79,66,72,59,64,74,63,59,68
74,72,24,17,23,52,58,70,65,13,15,13,16
73,77,25,12,51,39,67,41,56,12,19,17,11
62,75,29,66,78,74,70,56,57,72,67,66,73
72,70,26,12,20,56,35,68,61,16,14,11,12
49,43,27,25,55,27,42,61,89,35,18,80,48
69,63,33,68,75,79,72,69,65,72,76,68,51
63,68,26,47,75,62,71,78,75,67,68,78,63
78,76,27,80,76,79,67,65,57,65,76,41,72
68,47,26,49,72,70,64,82,69,56,65,67,39
55,28,21,24,64,61,47,73,75,37,39,68,23
84,68,21,54,79,57,61,82,84,72,73,64,69
67,56,24,40,70,74,58,68,75,32,59,69,47
79,33,28,40,64,78,38,79,65,42,66,60,22
60,70,29,71,69,83,80,56,59,69,59,45,65
66,74,31,60,74,65,76,78,79,74,66,78,74
83,60,26,55,72,84,48,73,52,61,72,54,61
73,69,29,34,76,77,69,81,76,77,70,76,71
62,68,27,57,71,71,73,67,66,77,68,61,65
79,67,26,15,32,40,47,67,64,13,20,16,15
72,77,33,18,23,51,51,64,62,19,13,15,18
71,72,29,66,73,68,64,73,73,71,68,75,70
70,59,24,68,67,70,55,84,83,49,65,72,52
65,47,28,25,67,71,62,79,77,53,54,67,37
70,56,28,79,77,64,37,66,73,63,80,68,38
72,35,24,39,60,68,37,80,81,45,39,73,30
52,41,33,28,58,73,39,80,73,26,43,70,29
34,61,33,59,69,54,65,49,79,60,59,76,47
61,43,24,27,62,54,51,68,82,49,57,73,38
85,62,21,44,73,80,66,64,63,71,71,49,61
88,70,24,56,74,65,66,90,83,70,53,70,74
50,38,34,42,51,53,22,68,83,32,42,73,32
81,72,29,56,75,67,56,57,62,74,66,63,75
56,33,27,52,62,66,45,83,80,40,53,65,26
34,60,34,60,78,38,80,63,80,69,63,74,50
84,63,26,63,70,76,63,60,61,67,71,58,60
75,61,21,62,76,80,72,34,50,69,68,36,59
79,66,23,73,74,82,71,48,44,70,70,37,63
83,71,27,64,75,74,53,83,63,75,70,42,70
81,73,26,45,72,71,71,66,61,75,66,68,73
71,66,30,69,75,66,69,63,66,72,71,66,68
31,32,35,38,60,32,31,32,78,21,31,78,32
70,59,24,37,71,65,70,70,71,68,70,70,56
73,52,28,34,72,67,56,71,68,68,74,64,44
70,74,32,66,76,73,64,59,63,78,59,55,78
70,48,29,70,68,61,42,70,80,36,75,71,20
77,65,29,14,22,38,42,38,52,12,20,18,11
80,70,19,42,68,60,60,71,81,73,37,72,73
44,52,29,50,73,46,69,65,74,53,56,76,39
76,63,27,71,73,87,70,62,43,68,69,39,59
85,62,23,71,71,91,72,81,61,60,75,66,53
66,30,27,33,55,48,27,79,82,40,59,72,27
67,49,22,36,71,75,62,74,78,57,47,50,47
75,49,25,46,62,55,45,67,66,42,74,67,52
72,75,33,10,23,64,70,52,60,6,8,13,6
69,75,26,54,76,67,60,71,72,72,51,66,73
66,65,29,77,73,72,67,60,62,69,81,58,59
53,48,28,30,67,65,62,78,73,39,52,73,49
73,76,26,16,15,58,33,73,52,16,11,15,12
78,67,25,70,74,84,70,59,43,68,75,49,67
65,28,23,33,63,57,51,72,79,39,67,73,20
65,46,33,42,50,55,42,72,81,40,51,74,33
62,66,25,59,71,68,72,67,71,76,58,64,61
75,65,19,50,78,74,65,58,55,65,75,58,62
76,57,26,58,76,83,72,69,67,66,62,48,48
88,64,23,67,71,93,70,61,41,69,72,25,67
71,60,25,69,74,64,68,72,70,63,50,59,48
80,75,28,59,71,79,68,63,74,69,59,66,75
57,59,27,72,72,61,69,68,73,56,67,72,40
69,71,25,64,73,63,73,48,64,72,65,40,69
48,33,24,40,50,49,45,68,84,24,30,72,28
60,71,24,22,74,47,48,69,79,78,47,75,73
69,68,23,75,73,53,67,62,69,69,53,66,63
74,51,27,69,71,72,64,90,72,73,76,72,43
94,59,21,42,78,81,46,75,80,64,70,40,61
69,60,22,61,80,74,75,70,52,61,61,49,65
73,49,29,45,63,43,47,52,84,37,49,73,43
80,73,27,63,78,85,70,84,61,69,62,59,73
33,59,40,64,68,59,67,60,76,55,53,75,54
56,48,28,46,65,47,55,82,83,44,41,69,41
75,58,28,73,70,71,63,55,68,61,75,59,52
80,59,23,70,71,73,71,69,65,65,77,41,55
51,41,25,49,50,71,51,62,85,37,39,72,33
57,36,30,34,71,61,62,74,72,53,61,67,29
86,72,30,79,76,88,66,58,51,65,63,56,69
87,54,25,38,73,80,63,66,56,59,68,55,53
